timestamp,message_id,MMSI,originator,speed,lon,lat,course
2021-07-03T00:00:01.000Z,18,219011448,DNK,0,12.572023,55.850617,205.3
2021-07-03T00:00:01.000Z,18,257997630,NOR,0.2,10.496428,59.832887,349.1
2021-07-03T00:00:01.000Z,18,219011448,SWE,0,12.572023,55.850617,205.3
2021-07-03T00:00:01.000Z,18,211287510,DNK,0.1,10.551662,55.93679,312.7
2021-07-03T00:00:01.000Z,1,245910000,DEU,0,8.577715,53.518213,21.1
2021-07-03T00:00:01.000Z,18,219006006,DNK,0,12.611448,55.695402,0
2021-07-03T00:00:01.000Z,18,211770100,DEU,0,8.58332,53.53374,163.1
2021-07-03T00:00:02.000Z,18,219005763,DNK,0,8.599812,57.123085,77.5
2021-07-03T00:00:02.000Z,18,219008177,DNK,0,10.924547,56.40979,360
2021-07-03T00:00:02.000Z,18,211545400,DEU,0,9.52242,53.626723,3.7
2021-07-03T00:00:02.000Z,1,211599340,DEU,0,8.580405,53.536385,303.9
2021-07-03T00:00:02.000Z,1,244284000,NLD,0,6.16122,53.40839,38
2021-07-03T00:00:02.000Z,1,244820038,NLD,0,5.41519,53.178477,230.3
2021-07-03T00:00:02.000Z,3,219005068,DNK,0,11.160327,55.17142,323
2021-07-03T00:00:02.000Z,18,211151690,DEU,0,9.417735,53.785492,34.9
2021-07-03T00:00:02.000Z,3,244700823,DEU,0,6.92244,53.32367,295.3
2021-07-03T00:00:02.000Z,1,211513200,DEU,0,9.960998,54.33295,0
2021-07-03T00:00:02.000Z,1,235106183,NLD,0,5.108688,52.856467,13.1
2021-07-03T00:00:02.000Z,1,211787790,DEU,0,13.729908,54.137798,327.4
2021-07-03T00:00:02.000Z,1,244660567,NLD,0,4.850638,52.42065,0.1
2021-07-03T00:00:02.000Z,3,211790550,DNK,0,12.623965,56.427503,188.8
2021-07-03T00:00:02.000Z,3,266212000,SWE,0.1,11.712972,57.596273,239.9
2021-07-03T00:00:02.000Z,3,636015008,DEU,0.1,7.422385,54.048328,142
2021-07-03T00:00:02.000Z,1,258003760,NOR,0,5.877918,59.171947,195.6
2021-07-03T00:00:02.000Z,18,211222770,POL,0,14.050382,53.736332,360
2021-07-03T00:00:02.000Z,1,244029025,NLD,0,5.043378,52.92348,0.2
2021-07-03T00:00:02.000Z,3,211634540,DEU,0.1,8.397175,54.629273,39
2021-07-03T00:00:02.000Z,1,211147180,DEU,0,10.690388,53.878183,357.3
2021-07-03T00:00:02.000Z,18,265679120,SWE,0,11.608627,57.631537,228.1
2021-07-03T00:00:02.000Z,18,257017850,NOR,0,5.400317,59.058547,100.9
2021-07-03T00:00:02.000Z,18,265679120,DNK,0,11.608627,57.631537,228.1
2021-07-03T00:00:02.000Z,1,244850299,NLD,0,5.04817,52.928538,1
2021-07-03T00:00:02.000Z,1,244750087,NLD,0,5.415968,53.172427,327.6
2021-07-03T00:00:02.000Z,1,244630644,DEU,0,13.763407,54.256568,41.6
2021-07-03T00:00:02.000Z,1,244615808,NLD,0,5.42072,52.505378,326.2
